id,title,description,link,image_link,price,availability
bt-bench-scraper,"Brod and Taylor Bench Scraper","Stainless steel bench scraper for dividing dough and keeping your work surface clean.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/bench-scraper.png","14.95 USD",in stock
goose-lame,"Wire Monkey Goose Lame","Ergonomic curved lame with wooden handle. Designed for precise scoring and beautiful bread ears.","https://wiremonkey.com/?ref=henrysbreadkitchen&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/goose-lame-new-sharp.jpg","49.95 USD",in stock
ufo-lame,"UFO Bread Lame","Circular lame design for ambidextrous use. Fine control and retractable blade in beautiful walnut.","https://wiremonkey.com/?ref=henrysbreadkitchen&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/ufo-lame.webp","29.95 USD",in stock
wood-pulp-banneton-round,"Wire Monkey Round Wood Pulp Banneton","Round wood pulp proofing basket for boules. Creates beautiful spiral patterns on your bread.","https://wiremonkey.com/?ref=henrysbreadkitchen&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/round-banneton.png","32.00 USD",in stock
wood-pulp-banneton-oval,"Wire Monkey Oval Wood Pulp Banneton","Oval wood pulp proofing basket for batards. Perfect for shaping long loaves with classic patterns.","https://wiremonkey.com/?ref=henrysbreadkitchen&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/oval-banneton.png","32.00 USD",in stock
sourhouse-starter-jars,"Sourhouse Starter Jars","Glass jars with measurement markings and airtight lids. Available in pint or quart sizes for maintaining sourdough starter.","https://sourhouse.co/?ref=BAKINGGREATBREAD&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/starter-jars.webp","20.76 USD",in stock
bt-dough-scraper,"Brod and Taylor Dough Scraper","Professional stainless steel dough scraper for shaping and dividing dough.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/bt-dough-scraper.jpg","18.95 USD",in stock
bt-spice-grinder,"Brod and Taylor Spice and Coffee Grinder","Compact electric grinder perfect for freshly ground spices, coffee, and grains for baking.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/bt-spice-grinder.png","24.95 USD",in stock
ufo-zero-lame,"Wire Monkey UFO Zero Lame","The original circular lame by Wire Monkey. Fine control, ambidextrous design, retractable blade in walnut.","https://wiremonkey.com/?ref=henrysbreadkitchen&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/wiremonkey-ufo-zero.webp","29.95 USD",in stock
poco-lame,"Wire Monkey Poco Lame","Smallest straight-blade lame in American black walnut. Simple, safe, maximum control.","https://wiremonkey.com/?ref=henrysbreadkitchen&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/wiremonkey-poco.webp","18.95 USD",in stock
arc-lame,"Wire Monkey Arc Lame","Smallest curved lame in the world. American black walnut with base stand. Ideal for long bread slashes.","https://wiremonkey.com/?ref=henrysbreadkitchen&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/wiremonkey-arc-lame.webp","25.95 USD",in stock
toast-tongs,"Wire Monkey Toast Tongs","Solid walnut toast tongs made in Ukraine. Safely retrieve toast with rare earth magnet for storing.","https://wiremonkey.com/?ref=henrysbreadkitchen&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/toast-tongs.webp","14.95 USD",in stock
spherical-duster,"Wire Monkey Spherical Flour Duster","Professional flour duster for dusting bannetons and work surfaces with precision and control.","https://wiremonkey.com/?ref=henrysbreadkitchen&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/spherical-flower-duster.webp","19.95 USD",in stock
banneton-cover,"Wire Monkey Reusable Banneton Cover","Elastic covers for bowls or bannetons. Washable, snug fit. Perfect for proofing.","https://wiremonkey.com/?ref=henrysbreadkitchen&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/wiremonkey-banneton-cover.webp","19.99 USD",in stock
vegan-bread-wrap,"Bees Wrap Vegan Bread Wrap","Vegan alternative to plastic wrap, reusable for up to one year. Made from organic cotton with plant-based waxes.","https://wiremonkey.com/?ref=henrysbreadkitchen&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/vegan-bread-wrap.webp","14.99 USD",in stock
sourhouse-bread-blanket,"Sourhouse Bread Blanket","Muslin cloth cover for storing bread. Keeps loaves fresh while allowing them to breathe naturally.","https://sourhouse.co/?ref=BAKINGGREATBREAD&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/sour-house-bread-blanket-alt.webp","19.95 USD",in stock
modkitchen-bread-bag,"ModKitchen Bread Bag","Linen bread storage bag that keeps your loaves fresh. Beautiful and functional.","https://modkitchn.com/discount/BAKINGGREATBREAD10","https://bakinggreatbread.blog/holiday/modkitchen-bread-bag.webp","29.95 USD",in stock
modkitchen-bread-sling,"ModKitchen Bread Sling","Transfer your dough safely in and out of Dutch ovens. Round sling for boules.","https://modkitchn.com/discount/BAKINGGREATBREAD10","https://bakinggreatbread.blog/holiday/modkitchen-bread-sling.webp","15.99 USD",in stock
modkitchen-oval-sling,"ModKitchen Oval Bread Sling","Oval sling for batard-shaped loaves. Safe transfer in and out of hot Dutch ovens.","https://modkitchn.com/discount/BAKINGGREATBREAD10","https://bakinggreatbread.blog/holiday/modkitchen-oval-sling.webp","16.99 USD",in stock
modkitchen-holiday-bags,"ModKitchen Holiday Bread Bags","Festive holiday-themed bread bags perfect for gifting homemade loaves.","https://modkitchn.com/discount/BAKINGGREATBREAD10","https://bakinggreatbread.blog/holiday/modkitchen-holiday-bags.webp","24.95 USD",in stock
french-rolling-pin,"Holland Bowl Mill French Rolling Pin","Tapered French rolling pin hand-turned from solid wood. Perfect balance for pastry and bread.","https://hollandbowlmill.com/baking/?wpam_id=10&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/french-rolling-pin.jpg","55.00 USD",in stock
bread-board-knife,"Holland Bowl Mill Cherry Bread Board and Bow Knife","Beautiful cherry wood bread board with matching bow knife. Perfect for serving artisan loaves.","https://hollandbowlmill.com/baking/?wpam_id=10&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/bread-board-bow-knife.jpg","130.00 USD",in stock
walnut-bowl-17,"Holland Bowl Mill 17 Inch Walnut Bowl","Hand-turned 17 inch walnut bowl from Michigan. Rich grain and beautiful color for mixing bread dough.","https://hollandbowlmill.com/baking/?wpam_id=10&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/walnut-bowl-17.jpg","385.00 USD",in stock
maple-bowl-17,"Holland Bowl Mill 17 Inch Maple Bowl","Hand-turned 17 inch maple bowl from Michigan. Light color and smooth grain for mixing bread.","https://hollandbowlmill.com/baking/?wpam_id=10&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/maple-bowl-17.jpg","325.00 USD",in stock
sahara-dehydrator,"Brod and Taylor Sahara Folding Dehydrator","Professional folding dehydrator for drying fruits, vegetables, and making dried sourdough starter.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/sahara-dehydrator.png","295.00 USD",in stock
bt-french-press,"Brod and Taylor Double Wall French Press","Double-wall insulated French press for coffee and tea. Keeps drinks hot longer.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/french-press.webp","59.00 USD",in stock
bt-vg2-sharpener,"Brod and Taylor Classic VG2 Knife Sharpener","Spring-action knife sharpener with Austrian VG2 steel. Professional results at home.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/bt-vg2-sharpener.jpg","79.00 USD",in stock
bt-chef-apron,"Brod and Taylor Chef Apron","Professional chef apron with adjustable straps. Durable and stylish for the home baker.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/bt-chef-apron.png","69.00 USD",in stock
proofing-container,"Brod and Taylor 6qt Proofing Container","6 quart clear container with measurement markings. Perfect for bulk fermentation tracking.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/proofing-container-6qt.webp","24.95 USD",in stock
sahara-poly-shelves,"Brod and Taylor Sahara Poly Shelves","Additional shelves for the Sahara Dehydrator. Expand your drying capacity.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/sahara-poly-shelves.webp","29.95 USD",in stock
nonstick-mat,"Brod and Taylor Nonstick Silicone Mat","Food-grade silicone mat for shaping and baking. Non-stick and easy to clean.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/nonstick-silicone-mat.webp","19.95 USD",in stock
proofer-accessories,"Brod and Taylor Proofer Accessories","Additional accessories for the Folding Proofer including racks and humidity trays.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/folding-proofer-accessories.webp","39.95 USD",in stock
baking-shell-batard,"Brod and Taylor Baking Shell for Batard","Steel baking shell specifically designed for batard-shaped loaves. Even heat distribution.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/baking-shell-batard-steel.webp","89.00 USD",in stock
bread-steel,"Brod and Taylor Bread Steel","Thick steel plate for oven baking. Provides consistent high heat for crispy crusts.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/bread-steel.webp","119.00 USD",in stock
ufo-nux-lame,"Wire Monkey UFO Nux Lame","Premium circular lame with walnut and brass accents. Precision scoring with style.","https://wiremonkey.com/?ref=henrysbreadkitchen&utm_source=holidayguide&utm_medium=giftguide2025&utm_campaign=christmas2025","https://bakinggreatbread.blog/holiday/wiremonkey-ufo-nux.webp","39.95 USD",in stock
bt-sourdough-bundle,"Brod and Taylor Sourdough Home Starter Bundle","Complete starter kit with jar, thermometer, and accessories for beginning sourdough.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/bt-sourdough-home-starter-jar-bundle.webp","49.95 USD",in stock
bt-baking-shell-bundle,"Brod and Taylor Baking Shell Steel Bundle","Baking shell and steel combo for professional bread baking at home.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/bt-baking-shell-steel-bundle.webp","199.00 USD",in stock
bt-whisk-knife-bundle,"Brod and Taylor Dough Whisk and Bench Knife Bundle","Essential bread making tools bundled together. Whisk and bench scraper combo.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/bt-dough-whisk-bench-knife-bundle.webp","34.95 USD",in stock
bt-bakers-scale,"Brod and Taylor Bakers Math Scale","Precision scale with bakers percentage function. Essential for consistent bread recipes.","https://brodandtaylor.com/henrysbreadkitchen","https://bakinggreatbread.blog/holiday/bt-bakers-math-scale.webp","49.95 USD",in stock
sourdough-rest-of-us,"Sourdough for the Rest of Us Book","Beginner-friendly sourdough guide. Real techniques that work in real kitchens without fancy equipment.","https://a.co/d/guDGoiE","https://bakinggreatbread.blog/holiday/sourdough-rest-of-us-sharp.jpg","6.08 USD",in stock
vitale-mastery,"Vitale Sourdough Mastery Book","Level up your sourdough skills. Timing, temperature control, and shaping methods that make sense.","https://a.co/d/h8Lnskn","https://bakinggreatbread.blog/holiday/vitale-sourdough-mastery-sharp.jpg","9.60 USD",in stock
oven-to-market,"From Oven to Market Book","Turn your baking into income. Cottage food laws, pricing, production planning, and customer relations.","https://a.co/d/3MKgp3l","https://bakinggreatbread.blog/holiday/from-oven-to-market-sharp.jpg","7.62 USD",in stock
loaf-and-lie,"The Loaf and the Lie Book","History and expose on how industrial bread replaced real bread in America. Quick read that changes perspective.","https://a.co/d/fyIyomh","https://bakinggreatbread.blog/holiday/loaf-and-lie-sharp.jpg","6.99 USD",in stock
bread-journey,"Bread A Journey Through History Book","The big picture book. History, fermentation science, and cultural significance of bread around the world.","https://a.co/d/3jUvHC8","https://bakinggreatbread.blog/holiday/bread-journey.jpg","7.95 USD",in stock
