"Product Name","Description","Price","Image URL"
"Challenger Parchment Papers","Pre-cut parchment papers sized for Challenger Bread Pan. Makes cleanup easy.","$12.95","https://bakinggreatbread.blog/holiday/challenger-parchment.png"
"UFO Bread Lame","Decorative bread scoring lame with UFO-inspired design. Made from beautiful wood.","$29.95","https://bakinggreatbread.blog/holiday/ufo-lame.webp"
"ModKitchn Round Bread Sling","Round silicone bread sling perfect for sourdough and artisan loaves. SureHold handle design ensures safe dough transfer.","$15.99","https://bakinggreatbread.blog/holiday/modkitchen-bread-sling.webp"
"ModKitchn Oval Bread Sling","Silicone bread sling with SureHold grips for safe dough handling and counter-to-oven transfer.","$16.99","https://bakinggreatbread.blog/holiday/modkitchen-oval-sling.webp"
"ModKitchn Bread Bag","Reusable bread bags with waterproof zipper and moisture-controlling liner. Made from recycled water bottles.","$29.95","https://bakinggreatbread.blog/holiday/modkitchen-bread-bag.webp"
"ModKitchn Holiday Bread Bags","Limited-edition holiday-themed reusable bread bags with festive designs. Perfect for gifting homemade loaves.","$29.95","https://bakinggreatbread.blog/holiday/modkitchen-holiday-bags.webp"
"Sahara Folding Dehydrator","Professional-grade folding dehydrator for drying fruits, vegetables, herbs, and more. Compact storage design.","$295","https://bakinggreatbread.blog/holiday/sahara-dehydrator.png"
"17"" Walnut Bowl","Hand-turned 17-inch walnut mixing bowl from Holland Bowl Mill. Premium hardwood with beautiful grain.","$385","https://bakinggreatbread.blog/holiday/walnut-bowl-17.jpg"
"17"" Maple Bowl","Hand-turned 17-inch maple mixing bowl from Holland Bowl Mill. Light colored premium hardwood.","$325","https://bakinggreatbread.blog/holiday/maple-bowl-17.jpg"
"French Rolling Pin","Tapered French-style rolling pin from Holland Bowl Mill. Made from premium hardwood.","$55","https://bakinggreatbread.blog/holiday/french-rolling-pin.jpg"
"Cherry Bread Board & Bow Knife","Cherry wood bread board with serrated bow knife from Holland Bowl Mill. Perfect for slicing and serving.","$130","https://bakinggreatbread.blog/holiday/bread-board-bow-knife.jpg"
"Double-Wall French Press & Carafe","Brød & Taylor double-wall French press for coffee or tea. Keeps beverages hot longer.","$59","https://bakinggreatbread.blog/holiday/french-press.webp"
"Classic VG2 Knife Sharpener","Spring-action knife sharpener with Austrian VG2 steel. Keeps your bread knife razor sharp.","$79","https://bakinggreatbread.blog/holiday/bt-vg2-sharpener.jpg"
"Brød & Taylor Chef's Apron","Professional kitchen apron with adjustable fit. Durable and stylish for serious bakers.","$69","https://bakinggreatbread.blog/holiday/bt-chef-apron.png"
"Proofing Container 6qt","Clear 6-quart container with measurement markings for bulk fermentation. See your dough rise.","$24.95","https://bakinggreatbread.blog/holiday/proofing-container-6qt.webp"
"Sahara Poly Shelves","Additional shelves for Sahara Dehydrator. Expand your drying capacity.","$39.95","https://bakinggreatbread.blog/holiday/sahara-poly-shelves.webp"
"Non-Stick Silicone Mat","Brød & Taylor non-stick silicone mat for kneading and shaping dough. Heat resistant.","$19.95","https://bakinggreatbread.blog/holiday/nonstick-silicone-mat.webp"
"Folding Proofer Accessories","Accessories pack for Brød & Taylor Folding Proofer. Enhance your proofing setup.","$49.95","https://bakinggreatbread.blog/holiday/folding-proofer-accessories.webp"
"Baking Shell Batard Steel","Steel baking shell for batard loaves. Creates excellent heat transfer for crispy crust.","$89","https://bakinggreatbread.blog/holiday/baking-shell-batard-steel.webp"
"Bread Steel","Baking steel for bread. Superior heat retention for bakery-quality crusts at home.","$99","https://bakinggreatbread.blog/holiday/bread-steel.webp"
"UFO Nux Lame","Wire Monkey UFO Nux scoring lame with unique circular design. Premium walnut construction.","$34.95","https://bakinggreatbread.blog/holiday/wiremonkey-ufo-nux.webp"
"Sourdough Home Starter Jar Bundle","Brød & Taylor bundle with starter jar and accessories. Everything you need to maintain your starter.","$44.95","https://bakinggreatbread.blog/holiday/bt-sourdough-home-starter-jar-bundle.webp"
"Baking Shell Steel Bundle","Brød & Taylor baking shell and steel bundle for the ultimate baking surface.","$159","https://bakinggreatbread.blog/holiday/bt-baking-shell-steel-bundle.webp"
"Dough Whisk & Bench Knife Bundle","Brød & Taylor bundle with dough whisk and bench knife. Essential mixing and shaping tools.","$34.95","https://bakinggreatbread.blog/holiday/bt-dough-whisk-bench-knife-bundle.webp"
"Baker's Math Kitchen Scale","Brød & Taylor precision kitchen scale with baker's percentage function. Essential for accurate baking.","$49.95","https://bakinggreatbread.blog/holiday/bt-bakers-math-scale.webp"
"SAF Instant Yeast","Professional instant yeast for bread baking. Long shelf life and consistent results.","$7.95","https://bakinggreatbread.blog/holiday/saf-instant-yeast.png"
"Sourdough Starter Guide","Comprehensive guide to creating and maintaining your sourdough starter. Digital download.","Free","https://bakinggreatbread.blog/holiday/starter-guide.png"
"Recipe Collection","Collection of tested bread recipes from Henry's Bread Kitchen. Digital download.","Free","https://bakinggreatbread.blog/holiday/recipe-collection.png"
"Sourdough for the Rest of Us","Book: The beginner-friendly guide to sourdough. No fancy equipment required, just real techniques that work.","$6.08","https://bakinggreatbread.blog/holiday/sourdough-rest-of-us-sharp.jpg"
"Vitale Sourdough Mastery","Book: Level up your sourdough skills. Deeper techniques for timing, temperature control, and shaping.","$9.60","https://bakinggreatbread.blog/holiday/vitale-sourdough-mastery-sharp.jpg"
"From Oven to Market","Book: Turn your baking into income. Covers cottage food laws, pricing, production planning.","$7.62","https://bakinggreatbread.blog/holiday/from-oven-to-market-sharp.jpg"
"The Loaf and the Lie","Book: Part history, part exposé on how industrial bread replaced real bread in America.","$6.99","https://bakinggreatbread.blog/holiday/loaf-and-lie-sharp.jpg"
"Bread: A Journey Through History","Book: The big picture of bread - history, fermentation science, and global cultures.","$7.95","https://bakinggreatbread.blog/holiday/bread-journey.jpg"
